snapshot_number,timestamp_utc,best_bid,best_ask,mid_price,bid_qty,ask_qty,imbalance,inverse_imbalance,micro_price,micro_edge_pct,spread,spread_pct,mid_return_1s_pct,mid_return_2s_pct,mid_return_3s_pct,mid_return_30s_pct,mid_return_1m_pct,mid_return_3m_pct,mid_return_5m_pct,price_change_from_start_pct,market_state,A_long_score_pct,A_short_score_pct,A_position,A_realized_pnl_inr,B_long_score_pct,B_short_score_pct,B_position,B_realized_pnl_inr,C_long_score_pct,C_short_score_pct,C_position,C_realized_pnl_inr,D_long_score_pct,D_short_score_pct,D_position,D_realized_pnl_inr
1,2026-09-18T11:31:35.131Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
2,2026-09-18T11:32:05.140Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
3,2026-09-18T11:32:35.148Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
4,2026-09-18T11:33:05.155Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
5,2026-09-18T11:33:35.165Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
6,2026-09-18T11:34:05.172Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
7,2026-09-18T11:34:35.173Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
8,2026-09-18T11:35:05.180Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
9,2026-09-18T11:35:35.187Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
10,2026-09-18T11:36:05.202Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
11,2026-09-18T11:36:35.210Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
12,2026-09-18T11:37:05.217Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
13,2026-09-18T11:37:35.228Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
14,2026-09-18T11:38:05.241Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
15,2026-09-18T11:38:35.247Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
16,2026-09-18T11:39:05.257Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
17,2026-09-18T11:39:35.272Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
18,2026-09-18T11:40:05.283Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
19,2026-09-18T11:40:35.293Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
20,2026-09-18T11:41:05.302Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
21,2026-09-18T11:41:35.310Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
22,2026-09-18T11:42:05.325Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
23,2026-09-18T11:42:35.329Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
24,2026-09-18T11:43:05.342Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
25,2026-09-18T11:43:35.354Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
26,2026-09-18T11:44:05.359Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
27,2026-09-18T11:44:35.376Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
28,2026-09-18T11:45:05.376Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
29,2026-09-18T11:45:35.378Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
30,2026-09-18T11:46:05.390Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
31,2026-09-18T11:46:35.395Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
32,2026-09-18T11:47:05.408Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
33,2026-09-18T11:47:35.423Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
34,2026-09-18T11:48:05.436Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
35,2026-09-18T11:48:35.437Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
36,2026-09-18T11:49:05.450Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
37,2026-09-18T11:49:35.463Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
38,2026-09-18T11:50:05.474Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
39,2026-09-18T11:50:35.480Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
40,2026-09-18T11:51:05.486Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
41,2026-09-18T11:51:35.490Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
42,2026-09-18T11:52:05.503Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
43,2026-09-18T11:52:35.506Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
44,2026-09-18T11:53:05.520Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
45,2026-09-18T11:53:35.523Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
46,2026-09-18T11:54:05.529Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
47,2026-09-18T11:54:35.536Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
