candidate,TP,SL,feePct,totalSignals,actualEntries,ignoredSignals,completedTrades,longEntries,shortEntries,tpHits,slHits,bailoutHits,openAtSessionEnd,winRate,avgHoldMs,medianHoldMs,maxHoldMs,grossPnlUsdt,feesUsdt,netPnlUsdt,startEqUsdt,endEqUsdt,maxDrawdownUsdt,tradesPerHour
A,0.1,0.1,0.001,165,20,145,20,11,9,11,9,0,0,0.55,379624.95,371480,436914,0.019600000000000065,0.591836,-0.572236,3.488372093023256,2.9161360930232556,0.5722360000000002,80
A,0.1,0.1,0.00075,165,24,141,24,12,12,12,12,0,0,0.5,370986.2916666667,365392,436914,-0.01820000000000137,0.5326513500000002,-0.5508513500000015,3.488372093023256,2.9375207430232546,0.5508513500000012,96
A,0.1,0.1,0.0005,165,36,129,36,18,18,18,18,0,0,0.5,344712.6388888889,353725,436914,-0.03640000000000074,0.5326425999999999,-0.5690426000000006,3.488372093023256,2.919329493023253,0.5690426000000026,144
A,0.1,0.15,0.001,165,18,147,18,10,8,10,8,0,0,0.5555555555555556,385317.6111111111,379036,442326,-0.0055999999999988975,0.532672,-0.538271999999999,3.488372093023256,2.950100093023256,0.5382719999999996,72
A,0.1,0.15,0.00075,165,22,143,22,11,11,11,11,0,0,0.5,377408.86363636365,369313,442326,-0.057400000000001526,0.48829515000000023,-0.5456951500000018,3.488372093023256,2.9426769430232533,0.5456951500000025,88
A,0.1,0.15,0.0005,165,34,131,34,18,16,18,16,0,0,0.5294117647058824,351139.73529411765,354731,442326,-0.05180000000000262,0.5030864999999999,-0.5548865000000025,3.488372093023256,2.933485593023252,0.5548865000000038,136
A,0.1,0.2,0.001,165,16,149,16,8,8,8,8,0,0,0.5,441083.625,463070,546259,-0.12039999999999992,0.47356120000000007,-0.5939612,3.488372093023256,2.894410893023254,0.5939612000000016,64
A,0.1,0.2,0.00075,165,20,145,20,11,9,11,9,0,0,0.55,428326.5,408336,546259,-0.10359999999999929,0.4439694000000001,-0.5475693999999994,3.488372093023256,2.940802693023256,0.5475694,80
A,0.1,0.2,0.0005,165,24,141,24,12,12,12,12,0,0,0.5,425218.9583333333,432220,546259,-0.18340000000000037,0.3551835,-0.5385835000000003,3.488372093023256,2.949788593023254,0.5385835000000019,96
A,0.1,0.25,0.001,165,12,153,12,5,7,5,7,0,0,0.4166666666666667,470008.5,490390,566959,-0.17920000000000016,0.3552248000000001,-0.5344248000000003,3.488372093023256,2.953947293023256,0.5344247999999996,48
