candidate,TP,SL,fee_pct,signal_ts,direction,entry,exit_ts,exit_price,reason,hold_ms,gross_pnl,fees,net_pnl
A,0.1,0.1,0.001,1789736948296,SHORT,105.62,1789737385210,105.75,SL,436914,-0.0182,0.0296,-0.0478
A,0.1,0.1,0.001,1789736949811,SHORT,105.62,1789737385210,105.75,SL,435399,-0.0182,0.0296,-0.0478
A,0.1,0.1,0.001,1789736955383,SHORT,105.62,1789737385210,105.75,SL,429827,-0.0182,0.0296,-0.0478
A,0.1,0.1,0.001,1789736971127,SHORT,105.62,1789737385210,105.75,SL,414083,-0.0182,0.0296,-0.0478
A,0.1,0.1,0.001,1789736979772,LONG,105.64,1789737388108,105.76,TP,408336,0.0168,0.0296,-0.0128
A,0.1,0.1,0.001,1789736988436,LONG,105.64,1789737388108,105.76,TP,399672,0.0168,0.0296,-0.0128
A,0.1,0.1,0.001,1789737002128,LONG,105.61,1789737385210,105.74,TP,383082,0.0182,0.0296,-0.0114
A,0.1,0.1,0.001,1789737004165,SHORT,105.59,1789737385210,105.75,SL,381045,-0.0224,0.0296,-0.0520
A,0.1,0.1,0.001,1789737006174,LONG,105.61,1789737385210,105.74,TP,379036,0.0182,0.0296,-0.0114
A,0.1,0.1,0.001,1789737013730,LONG,105.62,1789737385210,105.74,TP,371480,0.0168,0.0296,-0.0128
A,0.1,0.1,0.001,1789737018795,SHORT,105.61,1789737385210,105.75,SL,366415,-0.0196,0.0296,-0.0492
A,0.1,0.1,0.001,1789737019818,SHORT,105.6,1789737385210,105.75,SL,365392,-0.0210,0.0296,-0.0506
A,0.1,0.1,0.001,1789737027429,LONG,105.6,1789737385210,105.74,TP,357781,0.0196,0.0296,-0.0100
A,0.1,0.1,0.001,1789737029476,LONG,105.61,1789737385210,105.74,TP,355734,0.0182,0.0296,-0.0114
A,0.1,0.1,0.001,1789737030479,LONG,105.62,1789737385210,105.74,TP,354731,0.0168,0.0296,-0.0128
A,0.1,0.1,0.001,1789737031485,SHORT,105.62,1789737385210,105.75,SL,353725,-0.0182,0.0296,-0.0478
A,0.1,0.1,0.001,1789737032494,LONG,105.64,1789737388108,105.76,TP,355614,0.0168,0.0296,-0.0128
A,0.1,0.1,0.001,1789737033513,LONG,105.64,1789737388108,105.76,TP,354595,0.0168,0.0296,-0.0128
A,0.1,0.1,0.001,1789737036025,LONG,105.65,1789737388108,105.76,TP,352083,0.0154,0.0296,-0.0142
A,0.1,0.1,0.001,1789737047655,SHORT,105.63,1789737385210,105.75,SL,337555,-0.0168,0.0296,-0.0464
A,0.1,0.15,0.001,1789736948296,SHORT,105.62,1789737390622,105.78,SL,442326,-0.0224,0.0296,-0.0520
A,0.1,0.15,0.001,1789736949811,SHORT,105.62,1789737390622,105.78,SL,440811,-0.0224,0.0296,-0.0520
A,0.1,0.15,0.001,1789736955383,SHORT,105.62,1789737390622,105.78,SL,435239,-0.0224,0.0296,-0.0520
A,0.1,0.15,0.001,1789736971127,SHORT,105.62,1789737390622,105.78,SL,419495,-0.0224,0.0296,-0.0520
A,0.1,0.15,0.001,1789736979772,LONG,105.64,1789737388108,105.76,TP,408336,0.0168,0.0296,-0.0128
A,0.1,0.15,0.001,1789736988436,LONG,105.64,1789737388108,105.76,TP,399672,0.0168,0.0296,-0.0128
A,0.1,0.15,0.001,1789737002128,LONG,105.61,1789737385210,105.74,TP,383082,0.0182,0.0296,-0.0114
A,0.1,0.15,0.001,1789737004165,SHORT,105.59,1789737385210,105.75,SL,381045,-0.0224,0.0296,-0.0520
A,0.1,0.15,0.001,1789737006174,LONG,105.61,1789737385210,105.74,TP,379036,0.0182,0.0296,-0.0114
A,0.1,0.15,0.001,1789737013730,LONG,105.62,1789737385210,105.74,TP,371480,0.0168,0.0296,-0.0128
A,0.1,0.15,0.001,1789737018795,SHORT,105.61,1789737388108,105.77,SL,369313,-0.0224,0.0296,-0.0520
A,0.1,0.15,0.001,1789737019818,SHORT,105.6,1789737388108,105.77,SL,368290,-0.0238,0.0296,-0.0534
A,0.1,0.15,0.001,1789737027429,LONG,105.6,1789737385210,105.74,TP,357781,0.0196,0.0296,-0.0100
A,0.1,0.15,0.001,1789737029476,LONG,105.61,1789737385210,105.74,TP,355734,0.0182,0.0296,-0.0114
A,0.1,0.15,0.001,1789737030479,LONG,105.62,1789737385210,105.74,TP,354731,0.0168,0.0296,-0.0128
A,0.1,0.15,0.001,1789737031485,SHORT,105.62,1789737390622,105.78,SL,359137,-0.0224,0.0296,-0.0520
A,0.1,0.15,0.001,1789737032494,LONG,105.64,1789737388108,105.76,TP,355614,0.0168,0.0296,-0.0128
A,0.1,0.15,0.001,1789737033513,LONG,105.64,1789737388108,105.76,TP,354595,0.0168,0.0296,-0.0128
A,0.1,0.2,0.001,1789736948296,SHORT,105.62,1789737494555,105.86,SL,546259,-0.0336,0.0296,-0.0632
A,0.1,0.2,0.001,1789736949811,SHORT,105.62,1789737494555,105.86,SL,544744,-0.0336,0.0296,-0.0632
A,0.1,0.2,0.001,1789736955383,SHORT,105.62,1789737494555,105.86,SL,539172,-0.0336,0.0296,-0.0632
A,0.1,0.2,0.001,1789736971127,SHORT,105.62,1789737494555,105.86,SL,523428,-0.0336,0.0296,-0.0632
A,0.1,0.2,0.001,1789736979772,LONG,105.64,1789737388108,105.76,TP,408336,0.0168,0.0296,-0.0128
A,0.1,0.2,0.001,1789736988436,LONG,105.64,1789737388108,105.76,TP,399672,0.0168,0.0296,-0.0128
A,0.1,0.2,0.001,1789737002128,LONG,105.61,1789737385210,105.74,TP,383082,0.0182,0.0296,-0.0114
A,0.1,0.2,0.001,1789737004165,SHORT,105.59,1789737485445,105.81,SL,481280,-0.0308,0.0296,-0.0604
A,0.1,0.2,0.001,1789737006174,LONG,105.61,1789737385210,105.74,TP,379036,0.0182,0.0296,-0.0114
A,0.1,0.2,0.001,1789737013730,LONG,105.62,1789737385210,105.74,TP,371480,0.0168,0.0296,-0.0128
A,0.1,0.2,0.001,1789737018795,SHORT,105.61,1789737494073,105.83,SL,475278,-0.0308,0.0296,-0.0604
A,0.1,0.2,0.001,1789737019818,SHORT,105.6,1789737494073,105.83,SL,474255,-0.0322,0.0296,-0.0618
A,0.1,0.2,0.001,1789737027429,LONG,105.6,1789737385210,105.74,TP,357781,0.0196,0.0296,-0.0100
A,0.1,0.2,0.001,1789737029476,LONG,105.61,1789737385210,105.74,TP,355734,0.0182,0.0296,-0.0114
A,0.1,0.2,0.001,1789737030479,LONG,105.62,1789737385210,105.74,TP,354731,0.0168,0.0296,-0.0128
