candidate,direction,timestamp,entryPrice,MFE_Pct,MAE_Pct,MFE_1000ms,MAE_1000ms,MFE_2000ms,MAE_2000ms,MFE_3000ms,MAE_3000ms,MFE_5000ms,MAE_5000ms,MFE_10000ms,MAE_10000ms,MFE_15000ms,MAE_15000ms,MFE_30000ms,MAE_30000ms,MFE_60000ms,MAE_60000ms,MFE_120000ms,MAE_120000ms,MFE_300000ms,MAE_300000ms
A,SHORT,2026-09-18T13:09:08.296Z,105.62,0.03787,0.02840,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.01894,0.01894,0.01894,0.01894,0.02840,0.03787,0.02840
B,SHORT,2026-09-18T13:09:08.296Z,105.62,0.03787,0.02840,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.01894,0.01894,0.01894,0.01894,0.02840,0.03787,0.02840
C,SHORT,2026-09-18T13:09:08.296Z,105.62,0.03787,0.02840,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.01894,0.01894,0.01894,0.01894,0.02840,0.03787,0.02840
D,SHORT,2026-09-18T13:09:08.296Z,105.62,0.03787,0.02840,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.01894,0.01894,0.01894,0.01894,0.02840,0.03787,0.02840
A,SHORT,2026-09-18T13:09:09.811Z,105.62,0.03787,0.02840,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.01894,0.01894,0.01894,0.01894,0.02840,0.03787,0.02840
C,SHORT,2026-09-18T13:09:09.811Z,105.62,0.03787,0.02840,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.01894,0.01894,0.01894,0.01894,0.02840,0.03787,0.02840
A,SHORT,2026-09-18T13:09:15.383Z,105.62,0.03787,0.02840,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.01894,0.01894,0.01894,0.01894,0.02840,0.03787,0.02840
C,SHORT,2026-09-18T13:09:15.383Z,105.62,0.03787,0.02840,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.01894,0.01894,0.01894,0.01894,0.02840,0.03787,0.02840
A,SHORT,2026-09-18T13:09:31.127Z,105.62,0.03787,0.02840,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.01894,0.00000,0.01894,0.01894,0.01894,0.01894,0.01894,0.01894,0.02840,0.03787,0.02840
C,SHORT,2026-09-18T13:09:31.127Z,105.62,0.03787,0.02840,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.01894,0.00000,0.01894,0.01894,0.01894,0.01894,0.01894,0.01894,0.02840,0.03787,0.02840
A,LONG,2026-09-18T13:09:39.772Z,105.64,0.00000,0.06626,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.04733,0.00000,0.04733,0.00000,0.04733,0.00000,0.06626
C,LONG,2026-09-18T13:09:39.772Z,105.64,0.00000,0.06626,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.04733,0.00000,0.04733,0.00000,0.04733,0.00000,0.06626
A,LONG,2026-09-18T13:09:48.436Z,105.64,0.00000,0.06626,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.04733,0.00000,0.04733,0.00000,0.04733,0.00000,0.05680,0.00000,0.06626
B,LONG,2026-09-18T13:09:48.436Z,105.64,0.00000,0.06626,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.04733,0.00000,0.04733,0.00000,0.04733,0.00000,0.05680,0.00000,0.06626
C,LONG,2026-09-18T13:09:48.436Z,105.64,0.00000,0.06626,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.04733,0.00000,0.04733,0.00000,0.04733,0.00000,0.05680,0.00000,0.06626
D,LONG,2026-09-18T13:09:48.436Z,105.64,0.00000,0.06626,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.04733,0.00000,0.04733,0.00000,0.04733,0.00000,0.05680,0.00000,0.06626
A,LONG,2026-09-18T13:10:02.128Z,105.61,0.02841,0.03788,0.00000,0.00947,0.00000,0.00947,0.00000,0.01894,0.00000,0.01894,0.00000,0.01894,0.00000,0.01894,0.00947,0.01894,0.02841,0.01894,0.02841,0.02841,0.02841,0.03788
B,LONG,2026-09-18T13:10:02.128Z,105.61,0.02841,0.03788,0.00000,0.00947,0.00000,0.00947,0.00000,0.01894,0.00000,0.01894,0.00000,0.01894,0.00000,0.01894,0.00947,0.01894,0.02841,0.01894,0.02841,0.02841,0.02841,0.03788
C,LONG,2026-09-18T13:10:02.128Z,105.61,0.02841,0.03788,0.00000,0.00947,0.00000,0.00947,0.00000,0.01894,0.00000,0.01894,0.00000,0.01894,0.00000,0.01894,0.00947,0.01894,0.02841,0.01894,0.02841,0.02841,0.02841,0.03788
D,LONG,2026-09-18T13:10:02.128Z,105.61,0.02841,0.03788,0.00000,0.00947,0.00000,0.00947,0.00000,0.01894,0.00000,0.01894,0.00000,0.01894,0.00000,0.01894,0.00947,0.01894,0.02841,0.01894,0.02841,0.02841,0.02841,0.03788
A,SHORT,2026-09-18T13:10:04.165Z,105.59,0.00947,0.05682,0.00000,0.00947,0.00000,0.00947,0.00000,0.01894,0.00000,0.01894,0.00000,0.02841,0.00000,0.02841,0.00000,0.04735,0.00000,0.05682,0.00000,0.05682,0.00947,0.05682
B,SHORT,2026-09-18T13:10:04.165Z,105.59,0.00947,0.05682,0.00000,0.00947,0.00000,0.00947,0.00000,0.01894,0.00000,0.01894,0.00000,0.02841,0.00000,0.02841,0.00000,0.04735,0.00000,0.05682,0.00000,0.05682,0.00947,0.05682
C,SHORT,2026-09-18T13:10:04.165Z,105.59,0.00947,0.05682,0.00000,0.00947,0.00000,0.00947,0.00000,0.01894,0.00000,0.01894,0.00000,0.02841,0.00000,0.02841,0.00000,0.04735,0.00000,0.05682,0.00000,0.05682,0.00947,0.05682
D,SHORT,2026-09-18T13:10:04.165Z,105.59,0.00947,0.05682,0.00000,0.00947,0.00000,0.00947,0.00000,0.01894,0.00000,0.01894,0.00000,0.02841,0.00000,0.02841,0.00000,0.04735,0.00000,0.05682,0.00000,0.05682,0.00947,0.05682
A,LONG,2026-09-18T13:10:06.174Z,105.61,0.02841,0.03788,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.02841,0.01894,0.02841,0.01894,0.02841,0.02841,0.02841,0.03788
C,LONG,2026-09-18T13:10:06.174Z,105.61,0.02841,0.03788,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.02841,0.01894,0.02841,0.01894,0.02841,0.02841,0.02841,0.03788
B,LONG,2026-09-18T13:10:08.174Z,105.61,0.02841,0.03788,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.02841,0.01894,0.02841,0.01894,0.02841,0.02841,0.02841,0.03788
D,LONG,2026-09-18T13:10:08.174Z,105.61,0.02841,0.03788,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.00000,0.00947,0.02841,0.01894,0.02841,0.01894,0.02841,0.02841,0.02841,0.03788
