candidate,TP,SL,attemptedEntries,completedTrades,openAtSessionEnd,tpHits,slHits,winRate,avgHoldMs,grossPnlUsdt,feesUsdt,netPnlUsdt
A,0.1,0.08,165,154,11,87,67,0.564935064935065,184625.7922077922,0.4241999999999741,4.5610978,-4.136897800000026
A,0.1,0.1,165,149,16,87,62,0.5838926174496645,188619.44295302013,0.3331999999999793,4.412900799999998,-4.079700800000019
A,0.1,0.12,165,147,18,87,60,0.5918367346938775,192351.4081632653,0.29399999999998083,4.353591200000001,-4.05959120000002
A,0.1,0.15,165,136,29,87,49,0.6397058823529411,201590.8455882353,0.3457999999999818,4.027412199999999,-3.681612200000017
A,0.1,0.2,165,127,38,87,40,0.6850393700787402,235998.96062992126,0.17779999999998153,3.7608325999999996,-3.583032600000018
A,0.1,0.25,165,127,38,87,40,0.6850393700787402,243578.35433070865,-0.0644000000000311,3.7610748,-3.825474800000031
A,0.1,0.3,165,126,39,87,39,0.6904761904761905,267531.99206349207,-0.31500000000003364,3.731709799999999,-4.046709800000032
A,0.1,0.5,165,87,78,87,0,1,184961.0459770115,1.4587999999999748,2.5766440000000004,-1.1178440000000256
A,0.1,0.75,165,87,78,87,0,1,184961.0459770115,1.4587999999999748,2.5766440000000004,-1.1178440000000256
A,0.1,1,165,87,78,87,0,1,184961.0459770115,1.4587999999999748,2.5766440000000004,-1.1178440000000256
A,0.1,1.5,165,87,78,87,0,1,184961.0459770115,1.4587999999999748,2.5766440000000004,-1.1178440000000256
A,0.15,0.08,165,131,34,64,67,0.48854961832061067,214943.3816793893,0.40740000000000337,3.8791634000000026,-3.471763399999999
A,0.15,0.1,165,126,39,64,62,0.5079365079365079,220869.11111111112,0.3164000000000086,3.7309664000000007,-3.414566399999992
A,0.15,0.12,165,124,41,64,60,0.5161290322580645,225813.4516129032,0.277200000000011,3.671656800000002,-3.3944567999999906
A,0.15,0.15,165,113,52,64,49,0.5663716814159292,240190.84955752213,0.32900000000001106,3.3454778000000016,-3.0164777999999908
A,0.15,0.2,165,104,61,64,40,0.6153846153846154,285548.83653846156,0.16100000000001058,3.0788982000000016,-2.917898199999991
A,0.15,0.25,165,104,61,64,40,0.6153846153846154,294804.4423076923,-0.08120000000000138,3.0791404000000018,-3.160340400000003
A,0.15,0.3,165,103,62,64,39,0.6213592233009708,324604.2912621359,-0.33180000000000454,3.0497754000000015,-3.3815754000000062
A,0.15,0.5,165,64,101,64,0,1,247137.84375,1.4420000000000062,1.8947095999999997,-0.4527095999999935
A,0.15,0.75,165,64,101,64,0,1,247137.84375,1.4420000000000062,1.8947095999999997,-0.4527095999999935
A,0.15,1,165,64,101,64,0,1,247137.84375,1.4420000000000062,1.8947095999999997,-0.4527095999999935
A,0.15,1.5,165,64,101,64,0,1,247137.84375,1.4420000000000062,1.8947095999999997,-0.4527095999999935
A,0.2,0.08,165,129,36,62,67,0.4806201550387597,251768.63565891472,0.9309999999999676,3.820402600000003,-2.8894026000000355
A,0.2,0.1,165,124,41,62,62,0.5,259274.8306451613,0.8399999999999712,3.672205600000001,-2.83220560000003
A,0.2,0.12,165,122,43,62,60,0.5081967213114754,264929.8278688525,0.8007999999999733,3.6128960000000023,-2.812096000000029
A,0.2,0.15,165,111,54,62,49,0.5585585585585585,283442.6756756757,0.8525999999999723,3.286717000000002,-2.43411700000003
A,0.2,0.2,165,102,63,62,40,0.6078431372549019,333506.3725490196,0.6845999999999721,3.0201374000000025,-2.3355374000000304
A,0.2,0.25,165,102,63,62,40,0.6078431372549019,342943.46078431373,0.44239999999995966,3.0203796000000023,-2.5779796000000426
A,0.2,0.3,165,101,64,62,39,0.6138613861386139,373810.0297029703,0.19179999999995695,2.9910146000000024,-2.7992146000000453
A,0.2,0.5,165,62,103,62,0,1,324796.6612903226,1.9655999999999687,1.8359487999999997,0.129651199999969
A,0.2,0.75,165,62,103,62,0,1,324796.6612903226,1.9655999999999687,1.8359487999999997,0.129651199999969
A,0.2,1,165,62,103,62,0,1,324796.6612903226,1.9655999999999687,1.8359487999999997,0.129651199999969
A,0.2,1.5,165,62,103,62,0,1,324796.6612903226,1.9655999999999687,1.8359487999999997,0.129651199999969
A,0.25,0.08,165,121,44,54,67,0.4462809917355372,266458.4132231405,1.0290000000000006,3.583525400000002,-2.554525400000001
A,0.25,0.1,165,116,49,54,62,0.46551724137931033,275115.4568965517,0.9380000000000044,3.4353284,-2.4973283999999953
A,0.25,0.12,165,114,51,54,60,0.47368421052631576,281445.20175438595,0.8988000000000058,3.376018800000001,-2.4772187999999953
A,0.25,0.15,165,103,62,54,49,0.5242718446601942,303159.71844660194,0.9506000000000054,3.049839800000001,-2.0992397999999954
A,0.25,0.2,165,94,71,54,40,0.574468085106383,359371.9574468085,0.7826000000000061,2.7832602000000013,-2.000660199999995
A,0.25,0.25,165,94,71,54,40,0.574468085106383,369612.2021276596,0.540399999999994,2.7835024000000015,-2.2431024000000077
A,0.25,0.3,165,93,72,54,39,0.5806451612903226,403420.72043010755,0.2897999999999911,2.754137400000001,-2.46433740000001
A,0.25,0.5,165,54,111,54,0,1,368531.6111111111,2.0635999999999997,1.5990715999999996,0.46452840000000006
A,0.25,0.75,165,54,111,54,0,1,368531.6111111111,2.0635999999999997,1.5990715999999996,0.46452840000000006
A,0.25,1,165,54,111,54,0,1,368531.6111111111,2.0635999999999997,1.5990715999999996,0.46452840000000006
A,0.25,1.5,165,54,111,54,0,1,368531.6111111111,2.0635999999999997,1.5990715999999996,0.46452840000000006
A,0.3,0.08,165,119,46,52,67,0.4369747899159664,303170.14285714284,1.3216000000000014,3.5246091999999996,-2.203009199999998
A,0.3,0.1,165,114,51,52,62,0.45614035087719296,313589.22807017545,1.2306000000000057,3.3764121999999976,-2.145812199999992
A,0.3,0.12,165,112,53,52,60,0.4642857142857143,320719.03571428574,1.1914000000000067,3.317102599999999,-2.1257025999999923
A,0.3,0.15,165,101,64,52,49,0.5148514851485149,347140.8910891089,1.2432000000000059,2.9909235999999986,-1.7477235999999927
A,0.3,0.2,165,92,73,52,40,0.5652173913043478,408877.64130434784,1.0752000000000055,2.7243439999999985,-1.649143999999993
A,0.3,0.25,165,92,73,52,40,0.5652173913043478,419340.5,0.8329999999999933,2.724586199999999,-1.8915862000000059
A,0.3,0.3,165,91,74,52,39,0.5714285714285714,454438.52747252746,0.5823999999999898,2.6952211999999984,-2.112821200000009
A,0.3,0.5,165,52,113,52,0,1,456470.8846153846,2.3562000000000003,1.5401554000000004,0.8160445999999999
A,0.3,0.75,165,52,113,52,0,1,456470.8846153846,2.3562000000000003,1.5401554000000004,0.8160445999999999
A,0.3,1,165,52,113,52,0,1,456470.8846153846,2.3562000000000003,1.5401554000000004,0.8160445999999999
A,0.3,1.5,165,52,113,52,0,1,456470.8846153846,2.3562000000000003,1.5401554000000004,0.8160445999999999
A,0.5,0.08,165,67,98,0,67,0,184190.46268656716,-1.034600000000003,1.9844538,-3.019053800000003
A,0.5,0.1,165,62,103,0,62,0,193753,-1.1255999999999975,1.8362568000000006,-2.961856799999998
A,0.5,0.12,165,60,105,0,60,0,203067.43333333332,-1.1647999999999943,1.7769471999999997,-2.941747199999994
A,0.5,0.15,165,49,116,0,49,0,231117.22448979592,-1.1129999999999949,1.4507681999999997,-2.563768199999995
A,0.5,0.2,165,40,125,0,40,0,347006.425,-1.2809999999999957,1.1841885999999995,-2.465188599999995
A,0.5,0.25,165,40,125,0,40,0,371071,-1.5232000000000063,1.1844308000000001,-2.7076308000000067
A,0.5,0.3,165,39,126,0,39,0,451728.71794871794,-1.7738000000000111,1.1550658000000003,-2.928865800000011
A,0.5,0.5,165,0,165,0,0,0,0,0,0,0
A,0.5,0.75,165,0,165,0,0,0,0,0,0,0
A,0.5,1,165,0,165,0,0,0,0,0,0,0
A,0.5,1.5,165,0,165,0,0,0,0,0,0,0
A,0.75,0.08,165,67,98,0,67,0,184190.46268656716,-1.034600000000003,1.9844538,-3.019053800000003
A,0.75,0.1,165,62,103,0,62,0,193753,-1.1255999999999975,1.8362568000000006,-2.961856799999998
A,0.75,0.12,165,60,105,0,60,0,203067.43333333332,-1.1647999999999943,1.7769471999999997,-2.941747199999994
A,0.75,0.15,165,49,116,0,49,0,231117.22448979592,-1.1129999999999949,1.4507681999999997,-2.563768199999995
A,0.75,0.2,165,40,125,0,40,0,347006.425,-1.2809999999999957,1.1841885999999995,-2.465188599999995
A,0.75,0.25,165,40,125,0,40,0,371071,-1.5232000000000063,1.1844308000000001,-2.7076308000000067
A,0.75,0.3,165,39,126,0,39,0,451728.71794871794,-1.7738000000000111,1.1550658000000003,-2.928865800000011
A,0.75,0.5,165,0,165,0,0,0,0,0,0,0
A,0.75,0.75,165,0,165,0,0,0,0,0,0,0
A,0.75,1,165,0,165,0,0,0,0,0,0,0
A,0.75,1.5,165,0,165,0,0,0,0,0,0,0
A,1,0.08,165,67,98,0,67,0,184190.46268656716,-1.034600000000003,1.9844538,-3.019053800000003
