id,candidate,dir,ts,entry,mfe,mae,timeToMfe,timeToMae
0,A,SHORT,1789736948296,105.62,0.0379,0.0284,247207,86716
1,B,SHORT,1789736948296,105.62,0.0379,0.0284,247207,86716
2,C,SHORT,1789736948296,105.62,0.0379,0.0284,247207,86716
3,D,SHORT,1789736948296,105.62,0.0379,0.0284,247207,86716
4,A,SHORT,1789736949811,105.62,0.0379,0.0284,245692,85201
5,C,SHORT,1789736949811,105.62,0.0379,0.0284,245692,85201
6,A,SHORT,1789736955383,105.62,0.0379,0.0284,240120,79629
7,C,SHORT,1789736955383,105.62,0.0379,0.0284,240120,79629
8,A,SHORT,1789736971127,105.62,0.0379,0.0284,224376,63885
9,C,SHORT,1789736971127,105.62,0.0379,0.0284,224376,63885
10,A,LONG,1789736979772,105.64,0.0000,0.0663,0,215731
11,C,LONG,1789736979772,105.64,0.0000,0.0663,0,215731
12,A,LONG,1789736988436,105.64,0.0000,0.0663,0,207067
13,B,LONG,1789736988436,105.64,0.0000,0.0663,0,207067
14,C,LONG,1789736988436,105.64,0.0000,0.0663,0,207067
15,D,LONG,1789736988436,105.64,0.0000,0.0663,0,207067
16,A,LONG,1789737002128,105.61,0.0284,0.0379,32884,193375
17,B,LONG,1789737002128,105.61,0.0284,0.0379,32884,193375
18,C,LONG,1789737002128,105.61,0.0284,0.0379,32884,193375
19,D,LONG,1789737002128,105.61,0.0284,0.0379,32884,193375
20,A,SHORT,1789737004165,105.59,0.0095,0.0568,191338,30847
21,B,SHORT,1789737004165,105.59,0.0095,0.0568,191338,30847
22,C,SHORT,1789737004165,105.59,0.0095,0.0568,191338,30847
23,D,SHORT,1789737004165,105.59,0.0095,0.0568,191338,30847
24,A,LONG,1789737006174,105.61,0.0284,0.0379,28838,189329
25,C,LONG,1789737006174,105.61,0.0284,0.0379,28838,189329
26,B,LONG,1789737008174,105.61,0.0284,0.0379,26838,187329
27,D,LONG,1789737008174,105.61,0.0284,0.0379,26838,187329
28,A,LONG,1789737013730,105.62,0.0189,0.0473,21282,181773
29,C,LONG,1789737013730,105.62,0.0189,0.0473,21282,181773
30,A,SHORT,1789737018795,105.61,0.0284,0.0379,176708,16217
31,B,SHORT,1789737018795,105.61,0.0284,0.0379,176708,16217
32,C,SHORT,1789737018795,105.61,0.0284,0.0379,176708,16217
33,D,SHORT,1789737018795,105.61,0.0284,0.0379,176708,16217
34,A,SHORT,1789737019818,105.6,0.0189,0.0473,175685,15194
35,C,SHORT,1789737019818,105.6,0.0189,0.0473,175685,15194
36,A,LONG,1789737027429,105.6,0.0379,0.0284,7583,168074
37,C,LONG,1789737027429,105.6,0.0379,0.0284,7583,168074
38,A,LONG,1789737029476,105.61,0.0284,0.0379,5536,166027
39,C,LONG,1789737029476,105.61,0.0284,0.0379,5536,166027
40,A,LONG,1789737030479,105.62,0.0189,0.0473,4533,165024
41,B,LONG,1789737030479,105.62,0.0189,0.0473,4533,165024
42,C,LONG,1789737030479,105.62,0.0189,0.0473,4533,165024
43,D,LONG,1789737030479,105.62,0.0189,0.0473,4533,165024
44,A,SHORT,1789737031485,105.62,0.0379,0.0284,164018,3527
45,A,LONG,1789737032494,105.64,0.0000,0.0663,0,163009
46,B,LONG,1789737032494,105.64,0.0000,0.0663,0,163009
47,C,LONG,1789737032494,105.64,0.0000,0.0663,0,163009
48,D,LONG,1789737032494,105.64,0.0000,0.0663,0,163009
49,A,LONG,1789737033513,105.64,0.0000,0.0663,0,161990
50,C,LONG,1789737033513,105.64,0.0000,0.0663,0,161990
51,B,LONG,1789737034008,105.64,0.0000,0.0663,0,161495
52,D,LONG,1789737034008,105.64,0.0000,0.0663,0,161495
53,A,LONG,1789737036025,105.65,0.0000,0.0757,0,159478
54,C,LONG,1789737036025,105.65,0.0000,0.0757,0,159478
55,A,SHORT,1789737047655,105.63,0.0473,0.0189,147848,220350
56,C,SHORT,1789737047655,105.63,0.0473,0.0189,147848,220350
57,A,SHORT,1789737054270,105.63,0.0473,0.0189,141233,213735
58,C,SHORT,1789737054270,105.63,0.0473,0.0189,141233,213735
59,A,SHORT,1789737055270,105.61,0.0284,0.0379,140233,212735
