symbol,event,window,observations,mean_ret,median_ret,pos_pct,neg_pct,mfe,mae,baseline,diff,tp_hit,sl_hit,ambiguous,category
B-STX_USDT,B_BEAR_T1_0.75-0.85,5000,58,0.00004348699189315464,0,0.15517241379310345,0.06896551724137931,0.00027544078509762727,0.00022476892685462557,-0.000025039275973239875,0.00006852626786639451,1,0,0,C) NO OBSERVED EDGE
B-STX_USDT,B_BEAR_T1_0.75-0.85,10000,57,0.000059076511375854166,0,0.22807017543859648,0.08771929824561403,0.00032621340466804793,0.0002537095768344691,-0.000038960121534131405,0.00009803663290998556,2,1,0,C) NO OBSERVED EDGE
B-STX_USDT,B_BEAR_T1_0.75-0.85,30000,57,-0.00009606602066367732,0,0.42105263157894735,0.3508771929824561,0.0005074414781990188,0.0005147916267087009,-0.00009514215722912275,-9.238634345545718e-7,7,11,0,C) NO OBSERVED EDGE
B-STX_USDT,B_BEAR_T1_0.75-0.85,60000,57,-0.00013326919425308634,0,0.42105263157894735,0.42105263157894735,0.0006957327703753166,0.0008918009622501322,-0.00011353774715775917,-0.00001973144709532717,15,27,0,C) NO OBSERVED EDGE
B-STX_USDT,B_BEAR_T1_0.75-0.85,180000,53,0.00005349386338664728,0,0.39622641509433965,0.39622641509433965,0.0011230721756855498,0.001473024376100142,-0.00017396131136156908,0.00022745517474821635,21,32,0,B) WEAK
B-STX_USDT,B_BEAR_T1_>0.85,5000,81,0.0001271444594017009,0,0.3950617283950617,0.09876543209876543,0.000405045582420176,0.00023582686428346423,-0.000025039275973239875,0.00015218373537494078,4,2,0,B) WEAK
B-STX_USDT,B_BEAR_T1_>0.85,10000,81,0.0001452063513325634,0,0.4567901234567901,0.16049382716049382,0.00047682490914431234,0.00030250496318118313,-0.000038960121534131405,0.00018416647286669481,7,5,0,B) WEAK
B-STX_USDT,B_BEAR_T1_>0.85,30000,81,0.00020728110676560699,0.0004190236748376985,0.5185185185185185,0.20987654320987653,0.0007125297067746382,0.000456346308384254,-0.00009514215722912275,0.00030242326399472974,26,16,0,B) WEAK
B-STX_USDT,B_BEAR_T1_>0.85,60000,81,0.00022260015684160482,0,0.49382716049382713,0.2962962962962963,0.000937870185729727,0.0006101490016030102,-0.00011353774715775917,0.000336137903999364,38,21,0,B) WEAK
B-STX_USDT,B_BEAR_T1_>0.85,180000,76,0.000042760097100127943,0,0.4868421052631579,0.4342105263157895,0.0014190080216607281,0.0012309978939421494,-0.00017396131136156908,0.00021672140846169702,45,29,0,B) WEAK
B-STX_USDT,A_BULL_T1_>0.85,5000,92,0.00018752751920441264,0,0.3695652173913043,0.03260869565217391,0.0003933031643973683,0.00021041274719144315,0.000025039275973239875,0.00016248824323117277,7,0,0,B) WEAK
B-STX_USDT,A_BULL_T1_>0.85,10000,92,0.0002447775684079337,0,0.4891304347826087,0.06521739130434782,0.0004665355809516223,0.0002424003961510661,0.000038960121534131405,0.00020581744687380227,9,2,0,B) WEAK
B-STX_USDT,A_BULL_T1_>0.85,30000,91,0.00027776695348142905,0.00042007981516495167,0.5054945054945055,0.2087912087912088,0.0007271780803549274,0.0003383026025661652,0.00009514215722912275,0.0001826247962523063,24,6,0,B) WEAK
B-STX_USDT,A_BULL_T1_>0.85,60000,90,0.00030910585471966473,0.0004207868714496812,0.5444444444444444,0.2777777777777778,0.0009055961427394919,0.00047535335202572793,0.00011353774715775917,0.00019556810756190556,35,16,0,B) WEAK
B-STX_USDT,A_BULL_T1_>0.85,180000,87,0.00044122463089449034,0,0.47126436781609193,0.3448275862068966,0.001436332673270953,0.0008637955790829992,0.00017396131136156908,0.0002672633195329213,49,42,0,B) WEAK
B-STX_USDT,C_BUY_SURGE,5000,9,-0.000046597236783853587,0,0,0.1111111111111111,0.0002105911404087343,0.0002571883771926009,0.000025039275973239875,-0.00007163651275709346,0,0,0,C) NO OBSERVED EDGE
B-STX_USDT,C_BUY_SURGE,10000,9,1.5686004388877064e-7,0,0.1111111111111111,0.1111111111111111,0.0002105911404087343,0.0002571883771926009,0.000038960121534131405,-0.000038803261490242634,0,0,0,C) NO OBSERVED EDGE
B-STX_USDT,C_BUY_SURGE,30000,9,-0.00009309502194342864,0,0.3333333333333333,0.2222222222222222,0.0003978638393878451,0.0004442047645035443,0.00009514215722912275,-0.0001882371791725514,0,1,0,B) WEAK
B-STX_USDT,C_BUY_SURGE,60000,9,-0.0000451391652234641,0,0.4444444444444444,0.4444444444444444,0.0008197360168713958,0.0007244353403085092,0.00011353774715775917,-0.00015867691238122326,2,2,0,B) WEAK
B-STX_USDT,C_BUY_SURGE,180000,9,-0.0001377648492820837,0,0.4444444444444444,0.3333333333333333,0.001663558866289656,0.0010041559558202865,0.00017396131136156908,-0.0003117261606436528,4,3,0,B) WEAK
B-STX_USDT,B_BEAR_T1_0.55-0.65,5000,51,0.000036834557094500224,0,0.19607843137254902,0.09803921568627451,0.0002845952457323034,0.0002187309119104065,-0.000025039275973239875,0.0000618738330677401,1,0,0,C) NO OBSERVED EDGE
B-STX_USDT,B_BEAR_T1_0.55-0.65,10000,51,0.00003262264468321328,0,0.2549019607843137,0.17647058823529413,0.0003504565917816564,0.0002847200114808284,-0.000038960121534131405,0.00007158276621734469,2,2,0,C) NO OBSERVED EDGE
