Behavior,Timeframe,Event,Forward Window,Observations,Mean Return %,Median Return %,Positive %,Baseline Return %
Momentum,1m,pos_0.25_0.50,1,1188,0.0014,-0.0061,48.23,0.0001
Momentum,1m,pos_0.25_0.50,3,1188,0.0084,-0.0086,47.81,0.0004
Momentum,1m,pos_0.25_0.50,5,1188,0.0029,-0.0107,47.98,0.0007
Momentum,1m,pos_0.25_0.50,10,1188,0.0004,-0.0176,47.81,0.0014
Momentum,1m,pos_0.50_1.00,1,158,0.0048,-0.0093,46.20,0.0001
Momentum,1m,pos_0.50_1.00,3,158,0.0265,0.0017,50.00,0.0004
Momentum,1m,pos_0.50_1.00,5,158,0.0170,0.0102,50.63,0.0007
Momentum,1m,pos_0.50_1.00,10,158,0.0184,-0.1011,40.51,0.0014
Momentum,1m,pos_gt_1.00,1,11,-0.1711,-0.0766,27.27,0.0001
Momentum,1m,pos_gt_1.00,3,11,-0.3754,-0.1916,27.27,0.0004
Momentum,1m,pos_gt_1.00,5,11,-0.2206,-0.1023,27.27,0.0007
Momentum,1m,pos_gt_1.00,10,11,-0.0478,0.1311,63.64,0.0014
Momentum,1m,neg_0.25_0.50,1,1058,0.0054,0.0120,54.44,0.0001
Momentum,1m,neg_0.25_0.50,3,1058,0.0152,0.0267,58.60,0.0004
Momentum,1m,neg_0.25_0.50,5,1058,0.0261,0.0388,59.55,0.0007
Momentum,1m,neg_0.25_0.50,10,1058,0.0317,0.0364,56.33,0.0014
Momentum,1m,neg_0.50_1.00,1,112,-0.0145,-0.0045,48.21,0.0001
Momentum,1m,neg_0.50_1.00,3,112,0.0012,0.0238,55.36,0.0004
Momentum,1m,neg_0.50_1.00,5,112,-0.0116,0.1165,56.25,0.0007
Momentum,1m,neg_0.50_1.00,10,112,-0.0242,0.0400,57.14,0.0014
Momentum,1m,neg_lt_1.00,1,14,0.0358,0.0908,50.00,0.0001
Momentum,1m,neg_lt_1.00,3,14,-0.0081,-0.1629,35.71,0.0004
Momentum,1m,neg_lt_1.00,5,14,-0.0313,-0.0516,35.71,0.0007
Momentum,1m,neg_lt_1.00,10,14,0.1436,0.2275,50.00,0.0014
Breakout,1m,long_5,1,20543,0.0002,0.0000,48.60,0.0001
Breakout,1m,long_5,3,20543,-0.0003,-0.0014,47.77,0.0004
Breakout,1m,long_5,5,20543,-0.0008,-0.0033,47.58,0.0007
Breakout,1m,long_5,10,20543,-0.0000,-0.0050,47.67,0.0014
Breakout,1m,long_10,1,14250,-0.0003,0.0000,47.78,0.0001
Breakout,1m,long_10,3,14250,-0.0015,-0.0027,46.95,0.0004
Breakout,1m,long_10,5,14250,-0.0017,-0.0049,46.72,0.0007
Breakout,1m,long_10,10,14250,-0.0010,-0.0059,47.26,0.0014
Breakout,1m,long_20,1,9428,-0.0004,-0.0000,46.89,0.0001
Breakout,1m,long_20,3,9428,-0.0017,-0.0037,46.20,0.0004
Breakout,1m,long_20,5,9428,-0.0016,-0.0065,45.82,0.0007
Breakout,1m,long_20,10,9428,-0.0005,-0.0068,46.90,0.0014
Breakout,1m,short_5,1,20867,-0.0003,0.0000,47.56,0.0001
Breakout,1m,short_5,3,20867,0.0008,0.0000,50.10,0.0004
Breakout,1m,short_5,5,20867,0.0022,0.0013,50.94,0.0007
Breakout,1m,short_5,10,20867,0.0030,0.0024,51.06,0.0014
Breakout,1m,short_10,1,14581,-0.0003,0.0000,47.77,0.0001
Breakout,1m,short_10,3,14581,0.0009,0.0002,50.60,0.0004
Breakout,1m,short_10,5,14581,0.0035,0.0028,51.94,0.0007
Breakout,1m,short_10,10,14581,0.0040,0.0041,52.05,0.0014
Breakout,1m,short_20,1,9901,-0.0007,0.0000,48.01,0.0001
Breakout,1m,short_20,3,9901,0.0014,0.0012,51.27,0.0004
Breakout,1m,short_20,5,9901,0.0045,0.0043,52.99,0.0007
Breakout,1m,short_20,10,9901,0.0057,0.0063,52.97,0.0014
MeanRev,1m,pos_0.25_0.50,1,2668,-0.0012,-0.0079,45.73,0.0001
MeanRev,1m,pos_0.25_0.50,3,2668,0.0028,-0.0160,44.79,0.0004
MeanRev,1m,pos_0.25_0.50,5,2668,0.0082,-0.0161,45.05,0.0007
MeanRev,1m,pos_0.25_0.50,10,2668,0.0143,-0.0185,46.03,0.0014
MeanRev,1m,pos_0.50_1.00,1,503,-0.0014,-0.0104,46.92,0.0001
MeanRev,1m,pos_0.50_1.00,3,503,0.0029,-0.0236,45.92,0.0004
MeanRev,1m,pos_0.50_1.00,5,503,-0.0008,-0.0360,45.33,0.0007
MeanRev,1m,pos_0.50_1.00,10,503,0.0087,-0.0489,44.93,0.0014
MeanRev,1m,pos_gt_1.00,1,53,0.0019,-0.0371,41.51,0.0001
MeanRev,1m,pos_gt_1.00,3,53,-0.0273,0.0460,52.83,0.0004
MeanRev,1m,pos_gt_1.00,5,53,-0.0659,0.0222,56.60,0.0007
MeanRev,1m,pos_gt_1.00,10,53,-0.0762,-0.0162,47.17,0.0014
MeanRev,1m,neg_0.25_0.50,1,2569,0.0008,0.0045,52.63,0.0001
MeanRev,1m,neg_0.25_0.50,3,2569,0.0016,0.0131,53.83,0.0004
MeanRev,1m,neg_0.25_0.50,5,2569,0.0053,0.0159,54.26,0.0007
MeanRev,1m,neg_0.25_0.50,10,2569,0.0074,0.0238,54.03,0.0014
MeanRev,1m,neg_0.50_1.00,1,332,0.0126,0.0317,57.83,0.0001
MeanRev,1m,neg_0.50_1.00,3,332,0.0623,0.0846,63.86,0.0004
MeanRev,1m,neg_0.50_1.00,5,332,0.0788,0.1073,65.06,0.0007
MeanRev,1m,neg_0.50_1.00,10,332,0.0638,0.0885,57.53,0.0014
MeanRev,1m,neg_lt_1.00,1,51,0.0011,-0.0246,43.14,0.0001
MeanRev,1m,neg_lt_1.00,3,51,-0.0836,-0.1345,43.14,0.0004
MeanRev,1m,neg_lt_1.00,5,51,-0.1461,-0.0571,45.10,0.0007
MeanRev,1m,neg_lt_1.00,10,51,-0.2171,-0.0032,49.02,0.0014
VolExpand,1m,inc_10_25,1,6706,-0.0008,0.0000,46.88,0.0001
VolExpand,1m,inc_10_25,3,6706,-0.0003,0.0000,49.00,0.0004
VolExpand,1m,inc_10_25,5,6706,-0.0001,0.0000,49.90,0.0007
